school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
5559,Redbank School,2145,,Macquarie Park,Girraween,Supporting students with mental health issues (ED Emotional Disturbance)
5559,Redbank School,2145,,Macquarie Park,Girraween,Supporting students with mental health issues (ED Emotional Disturbance)
5569,Bullimbal School,2340,South Tamworth,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5573,Caldera School,2486,Tweed Heads South,Tamworth,Tweed Coast,Supporting students with behavioural issues (BD)
5573,Caldera School,2486,Tweed Heads South,Tamworth,Tweed Coast,Supporting students with mental health issues (ED Emotional Disturbance)
5573,Caldera School,2486,Tweed Heads South,Tamworth,Tweed Coast,Supporting students with mental health issues (ED Emotional Disturbance)
5580,Parry School,2340,Tamworth,Tamworth,Peel,Supporting students with mental health issues (ED Emotional Disturbance)
5580,Parry School,2340,Tamworth,Tamworth,Peel,Supporting students with behavioural issues (BD)
5581,Karningul School,2143,Regents Park ,Ultimo,Chullora,Supporting students with behavioural issues (BD)
5582,Wakefield School,2278,Wakefield ,Tamworth,Lake Macquarie North,Supporting students with behavioural issues (BD)
5582,Wakefield School,2278,Wakefield ,Tamworth,Lake Macquarie North,Supporting students with mental health issues (ED Emotional Disturbance)
5606,Cairnsfoot School,2216,Brighton-Le-Sands,Ultimo,Kogarah,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8129,Murwillumbah High School,2484,Murwillumbah ,Tamworth,Wollumbin,Supporting students with mild intellectual disability (IM)
8129,Murwillumbah High School,2484,Murwillumbah ,Tamworth,Wollumbin,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8140,Taree High School,2430,Taree ,Tamworth,Taree,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8140,Taree High School,2430,Taree ,Tamworth,Taree,Supporting students with mild intellectual disability (IM)
8140,Taree High School,2430,Taree ,Tamworth,Taree,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8164,Muswellbrook High School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with mental health issues (ED Emotional Disturbance)
8164,Muswellbrook High School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with mild intellectual disability (IM)
8164,Muswellbrook High School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8166,Wyong High School,2259,Wyong,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8166,Wyong High School,2259,Wyong,Macquarie Park,Central Coast,Supporting students with mild intellectual disability (IM)
8166,Wyong High School,2259,Wyong,Macquarie Park,Central Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8189,Kyogle High School,2474,Kyogle ,Tamworth,Richmond,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8193,Mullumbimby High School,2482,Mullumbimby ,Tamworth,Wollumbin,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8193,Mullumbimby High School,2482,Mullumbimby ,Tamworth,Wollumbin,Supporting students with mild intellectual disability (IM)
8195,Ballina Coast High School,2478,Ballina,Tamworth,Lennox Coast,Supporting students with mental health issues (ED Emotional Disturbance)
8195,Ballina Coast High School,2478,Ballina,Tamworth,Lennox Coast,Supporting students with mild intellectual disability (IM)
8196,Monaro High School,2629,Cooma North,Wagga Wagga,Eden-Monaro,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8196,Monaro High School,2629,Cooma North,Wagga Wagga,Eden-Monaro,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8196,Monaro High School,2629,Cooma North,Wagga Wagga,Eden-Monaro,Supporting students with mental health issues (ED Emotional Disturbance)
8196,Monaro High School,2629,Cooma North,Wagga Wagga,Eden-Monaro,Supporting students with mild intellectual disability (IM)
8219,Hunter River High School,2324,Heatherbrae ,Tamworth,Port Stephens,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8219,Hunter River High School,2324,Heatherbrae ,Tamworth,Port Stephens,Supporting students with mild intellectual disability (IM)
8221,Kingsgrove North High School,2208,Kingsgrove,Ultimo,Beverly Hills,Supporting students with moderate intellectual disability (IO)
8221,Kingsgrove North High School,2208,Kingsgrove,Ultimo,Beverly Hills,Supporting students with mild intellectual disability (IM)
8232,Chatswood High School,2067,Chatswood ,Macquarie Park,Gordon,Supporting students with mild intellectual disability (IM)
8232,Chatswood High School,2067,Chatswood ,Macquarie Park,Gordon,Supporting students with autism (Au)
8232,Chatswood High School,2067,Chatswood ,Macquarie Park,Gordon,Supporting students with moderate intellectual disability (IO)
8233,Hunter Sports High School,2290,Gateshead ,Tamworth,Glenrock,Supporting students with moderate intellectual disability (IO)
8233,Hunter Sports High School,2290,Gateshead ,Tamworth,Glenrock,Supporting students with mild intellectual disability (IM)
8246,Heathcote High School,2233,Heathcote,Ultimo,Woronora River,Supporting students with autism (Au)
8246,Heathcote High School,2233,Heathcote,Ultimo,Woronora River,Supporting students with physical disability (P)
8250,Sir Joseph Banks High School,2212,Revesby ,Ultimo,Bankstown,Supporting students with mild intellectual disability (IM)
8250,Sir Joseph Banks High School,2212,Revesby ,Ultimo,Bankstown,Supporting students with moderate intellectual disability (IO)
8263,J J Cahill Memorial High School,2020,Mascot,Ultimo,Botany Bay,Supporting students with mild intellectual disability (IM)
8263,J J Cahill Memorial High School,2020,Mascot,Ultimo,Botany Bay,Supporting students with autism (Au)
8263,J J Cahill Memorial High School,2020,Mascot,Ultimo,Botany Bay,Supporting students with moderate intellectual disability (IO)
8266,James Fallon High School,2640,North Albury,Wagga Wagga,Albury,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8266,James Fallon High School,2640,North Albury,Wagga Wagga,Albury,Supporting students with mild intellectual disability (IM)
8266,James Fallon High School,2640,North Albury,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8273,Cecil Hills High School,2171,Cecil Hills ,Ultimo,Cowpasture,Supporting students with moderate intellectual disability (IO)
8273,Cecil Hills High School,2171,Cecil Hills ,Ultimo,Cowpasture,Supporting students with autism (Au)
8273,Cecil Hills High School,2171,Cecil Hills ,Ultimo,Cowpasture,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8274,Tuggerah Lakes Secondary College Tumbi Umbi Campus,2261,Tumbi Umbi ,Macquarie Park,Tuggerah Lakes,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8274,Tuggerah Lakes Secondary College Tumbi Umbi Campus,2261,Tumbi Umbi ,Macquarie Park,Tuggerah Lakes,Supporting students with mild intellectual disability (IM)
8279,Lake Munmorah High School,2259,Lake Munmorah,Macquarie Park,Lake Macquarie East,Supporting students with mental health issues (ED Emotional Disturbance)
8279,Lake Munmorah High School,2259,Lake Munmorah,Macquarie Park,Lake Macquarie East,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8279,Lake Munmorah High School,2259,Lake Munmorah,Macquarie Park,Lake Macquarie East,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8281,Great Lakes College Senior Campus,2428,Tuncurry,Tamworth,Great Lakes,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8284,Georges River College Oatley Senior Campus,2223,Oatley ,Ultimo,Georges River,Supporting students with autism (Au)
8284,Georges River College Oatley Senior Campus,2223,Oatley ,Ultimo,Georges River,Supporting students with moderate intellectual disability (IO)
8284,Georges River College Oatley Senior Campus,2223,Oatley ,Ultimo,Georges River,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8308,Corowa High School,2646,Corowa ,Wagga Wagga,Hume,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8334,Yass High School,2582,Yass ,Wagga Wagga,Yass,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8347,Coonabarabran High School,2357,Coonabarabran,Wagga Wagga,Western Plains,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8347,Coonabarabran High School,2357,Coonabarabran,Wagga Wagga,Western Plains,Supporting students with mental health issues (ED Emotional Disturbance)
8347,Coonabarabran High School,2357,Coonabarabran,Wagga Wagga,Western Plains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8349,Gilgandra High School,2827,Gilgandra,Wagga Wagga,Mudgee,Supporting students with mental health issues (ED Emotional Disturbance)
8349,Gilgandra High School,2827,Gilgandra,Wagga Wagga,Mudgee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8356,Cobar High School,2835,Cobar ,Wagga Wagga,Mitchell,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8362,Maclean High School,2463,Maclean ,Tamworth,Clarence Valley,Supporting students with mental health issues (ED Emotional Disturbance)
8362,Maclean High School,2463,Maclean ,Tamworth,Clarence Valley,Supporting students with mild intellectual disability (IM)
8362,Maclean High School,2463,Maclean ,Tamworth,Clarence Valley,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8362,Maclean High School,2463,Maclean ,Tamworth,Clarence Valley,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8368,Moruya High School,2537,Moruya,Wagga Wagga,Batemans Bay,Supporting students with mental health issues (ED Emotional Disturbance)
8368,Moruya High School,2537,Moruya,Wagga Wagga,Batemans Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8377,Picnic Point High School,2213,Picnic Point,Ultimo,Bankstown,Supporting students with mild intellectual disability (IM)
8377,Picnic Point High School,2213,Picnic Point,Ultimo,Bankstown,Supporting students with moderate intellectual disability (IO)
8388,Moss Vale High School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8388,Moss Vale High School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with autism (Au)
8388,Moss Vale High School,2577,Moss Vale ,Ultimo,Goulburn,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8390,Whitebridge High School,2290,Whitebridge ,Tamworth,Glenrock,Supporting students with mental health issues (ED Emotional Disturbance)
8390,Whitebridge High School,2290,Whitebridge ,Tamworth,Glenrock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
